"Statistic Label","Currency","Year","UNIT","VALUE"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","1988","Number","0.8568"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","1989","Number","0.8665"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","1990","Number","0.9302"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","1991","Number","0.9131"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","1992","Number","0.9692"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","1993","Number","0.9764"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","1994","Number","0.9778"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","1995","Number","1.0165"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","1996","Number","1.0257"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","1997","Number","0.9268"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","1998","Number","0.8602"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","1999","Number","0.8364"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","2000","Number","0.7739"
"Foreign Exchange Rate (Historical Series)","Pound Sterling per Punt","2001","Number","0.7896"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","1988","Number","1.5249"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","1989","Number","1.4175"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","1990","Number","1.6585"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","1991","Number","1.6144"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","1992","Number","1.7073"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","1993","Number","1.4668"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","1994","Number","1.4989"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","1995","Number","1.6039"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","1996","Number","1.6007"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","1997","Number","1.5179"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","1998","Number","1.4259"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","1999","Number","1.3533"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","2000","Number","1.1727"
"Foreign Exchange Rate (Historical Series)","US Dollar per Punt","2001","Number","1.1372"
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","1988","Number","2.6743"
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","1989","Number","2.665"
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","1990","Number","2.6729"
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","1991","Number","2.671"
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","1992","Number","2.6562"
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","1993","Number","2.4228"
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","1994","Number","2.4254"
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","1995","Number","2.2974"
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","1996","Number","2.4081"
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","1997","Number","2.6285"
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","1998","Number","2.5049"
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","1999","Number",""
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","2000","Number",""
"Foreign Exchange Rate (Historical Series)","Deutsche Mark per Punt","2001","Number",""
